travel_method,event_travel,bus_days,accommodation_type,accommodation_cost,transport_cost,number_events_previously_attended,event_organisation_rating,course_planning_rating,social_programme_rating,quality_rating_livestream,website_info_rating,printed_programme_rating,daily_news_info,facebook_twitter_following,facebook_twitter_rating,residence,local_authority,overnight_stay_location
hired vehicle,hired vehicle,0,self-catering accommodation,600,200,22,good,good,good,NA,good,good,yes,no,NA,scotland,stirling,dunkeld
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,excellent,excellent,not interested in social programme,NA,excellent,average,yes,yes,good,other uk,NA,doune
own vehicle,own vehicle,0,event campsite (comrie croft),560,60,14,good,good,good,good,good,good,some days,no,NA,scotland,east lothian,creiff
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,good,good,good,good,some days,no,NA,other uk,NA,blairgowrie
own vehicle,own vehicle,0,event campsite (comrie croft),900,100,5,excellent,excellent,good,average,excellent,excellent,no,no,NA,rest of the world,NA,aberfeldy
own vehicle,shared private vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA,st fillans
own vehicle,own vehicle,0,other camping / caravan site,800,50,4,excellent,excellent,good,NA,excellent,excellent,some days,yes,excellent,other uk,NA,comrie
own vehicle,event bus,6,event campsite (comrie croft),0,75,7,excellent,excellent,good,average,good,good,some days,no,NA,scotland,moray,crieff
own vehicle,shared private vehicle,0,guest house / b+b,250,150,1,average,good,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA,"auchterader, perth"
own vehicle,own vehicle,0,at home,860,120,6,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,other europe,NA,comrie
own vehicle,event bus,6,event campsite (comrie croft),90,100,16,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,scotland,east lothian,perth
own vehicle,event bus,3,event campsite (comrie croft),8000,100,2,good,average,not interested in social programme,NA,average,average,yes,no,NA,other europe,NA,comrie campsite
own vehicle,event bus,4,self-catering accommodation,350,60,5,excellent,good,not interested in social programme,excellent,excellent,good,no,no,NA,other uk,NA,killin
own vehicle,own vehicle,0,at home,800,50,4,good,excellent,excellent,NA,excellent,excellent,yes,yes,excellent,scotland,midlothian,fowlis wester
own vehicle,own vehicle,0,self-catering accommodation,750,200,0,excellent,excellent,not interested in social programme,NA,excellent,average,some days,yes,good,other uk,NA,"kenmore, garrow"
own vehicle,own vehicle,0,other camping / caravan site,250,150,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,yes,excellent,other uk,NA,st fillans
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,no,NA,other europe,NA,stirling
own vehicle,own vehicle,0,guest house / b+b,1000,1000,2,excellent,excellent,excellent,excellent,excellent,excellent,no,yes,good,other uk,NA,callander
own vehicle,own vehicle,0,event campsite (comrie croft),103,80,7,excellent,excellent,good,NA,good,average,some days,yes,good,other uk,NA,callander
hired vehicle,hired vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,excellent,good,good,excellent,yes,yes,good,other uk,NA,motala
coach+train+bus,event bus,6,event campsite (comrie croft),70,6,0,excellent,excellent,good,good,average,excellent,yes,yes,excellent,other uk,NA,perth
own vehicle,own vehicle,0,hotel,300,100,6,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,yes,good,other uk,NA,st fillans
own vehicle,own vehicle,0,other camping / caravan site,0,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,good,other europe,NA,"loch earn, blair atholl, faskally"
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,good,not interested in social programme,NA,good,average,no,no,NA,other uk,NA,stirling
own vehicle,own vehicle,0,self-catering accommodation,1084,200,10,excellent,good,average,NA,good,good,yes,yes,average,other uk,NA,"monzie, crieff"
own vehicle,own vehicle,0,other camping / caravan site,70,6,0,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,yes,excellent,other uk,NA,crieff
own vehicle,own vehicle,0,event campsite (comrie croft),103,80,7,good,good,average,NA,average,average,some days,no,NA,other uk,NA,monzie
own vehicle,own vehicle,0,other camping / caravan site,140,150,4,excellent,good,not interested in social programme,NA,excellent,excellent,yes,yes,good,other uk,NA,stirling
own vehicle,shared private vehicle,0,log cabin,100,40,3,excellent,good,excellent,NA,excellent,excellent,yes,no,NA,other uk,NA,blair atholl
own vehicle,own vehicle,0,with friends / relatives,250,150,1,excellent,excellent,excellent,excellent,excellent,excellent,yes,no,NA,other europe,NA,auchterarder
own vehicle,own vehicle,0,other camping / caravan site,250,150,1,excellent,excellent,not interested in social programme,NA,excellent,good,yes,yes,good,other uk,NA,st fillans
hired vehicle,event bus,6,event campsite (comrie croft),420,100,2,excellent,excellent,not interested in social programme,NA,good,good,some days,yes,good,scotland,highlands,dunkeld
own vehicle,own vehicle,0,hotel,152,80,12,good,average,not interested in social programme,good,average,average,no,yes,average,other uk,NA,lochearn
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,scotland,scottish borders,crieff/comrie
own vehicle,own vehicle,0,at home,700,0,10,good,excellent,not interested in social programme,average,excellent,excellent,yes,no,NA,other uk,NA,killin
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,good,average,good,good,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,other camping / caravan site,120,140,6,good,good,good,good,average,average,no,yes,good,other uk,NA,scone
own vehicle,own vehicle,0,self-catering accommodation,800,50,4,excellent,good,average,NA,good,average,yes,yes,good,other europe,NA,lawers
own vehicle,own vehicle,0,other camping / caravan site,300,100,6,excellent,good,not interested in social programme,NA,excellent,excellent,some days,no,NA,scotland,perth & kinross,nr crieff
hired vehicle,hired vehicle,0,self-catering accommodation,1000,1000,2,good,average,not interested in social programme,good,average,average,some days,yes,good,other europe,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,750,200,0,good,good,not interested in social programme,good,average,excellent,yes,no,NA,other uk,NA,creiff
own vehicle,own vehicle,0,event campsite (comrie croft),300,100,6,excellent,excellent,good,NA,good,good,some days,yes,good,other uk,NA,loch tay
air,event bus,5,guest house / b+b,75,50,14,excellent,poor,excellent,NA,good,good,some days,yes,good,other uk,NA,dunning
own vehicle,own vehicle,0,guest house / b+b,230,100,5,excellent,excellent,excellent,average,good,good,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,not interested in social programme,NA,excellent,good,yes,no,NA,other uk,NA,abernyte - camping in friend's garden
own vehicle,shared private vehicle,0,self-catering accommodation,1000,1000,2,excellent,average,not interested in social programme,NA,excellent,good,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,with friends / relatives,1200,100,7,excellent,good,not interested in social programme,good,excellent,excellent,yes,no,NA,scotland,west lothian,stirling
own vehicle,own vehicle,0,at home,250,150,1,good,good,not interested in social programme,NA,good,good,some days,no,NA,other europe,NA,"comrie (event campsite, and also friends' house in comrie)"
own vehicle,own vehicle,0,at home,1100,200,0,excellent,excellent,excellent,NA,good,good,no,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,850,40,4,good,good,not interested in social programme,poor,excellent,average,yes,no,NA,other uk,NA,auchterarder
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,good,average,good,good,no,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,1400,100,8,good,excellent,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA,killin and fort william
own vehicle,own vehicle,0,other camping / caravan site,0,75,7,average,average,not interested in social programme,NA,average,good,no,no,NA,scotland,edinburgh,comrie
own vehicle,own vehicle,0,other camping / caravan site,15,20,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,at home,70,6,0,excellent,excellent,good,NA,good,good,yes,no,NA,scotland,highland,pitlohry
own vehicle,own vehicle,0,self-catering accommodation,1100,200,0,excellent,good,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA,crieff
own vehicle,shared private vehicle,0,hotel,170,200,3,excellent,good,not interested in social programme,NA,excellent,excellent,some days,yes,excellent,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,650,150,14,excellent,excellent,not interested in social programme,poor,excellent,excellent,yes,no,NA,scotland,city of edinburgh,crieff
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,good,poor,good,NA,good,good,no,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,hotel,600,200,22,good,good,average,NA,excellent,excellent,yes,yes,good,other uk,NA,"inchyra, perth"
own vehicle,own vehicle,0,self-catering accommodation,850,40,4,good,average,not interested in social programme,good,good,good,yes,yes,average,scotland,argyll and bute,dunkeld
own vehicle,own vehicle,0,hotel,0,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA,stirling
own vehicle,"mixture of own vehicle and cycle, often dropping off or collecting from within easy reach. walked to day 3!",0,log cabin,300,100,6,excellent,excellent,excellent,NA,good,excellent,yes,no,NA,rest of the world,NA,inchture
hired vehicle,hired vehicle,0,event campsite (comrie croft),0,75,7,excellent,excellent,good,NA,excellent,excellent,some days,no,NA,other uk,NA,comrie and perth
hired vehicle,hired vehicle,0,military training camp,250,150,1,excellent,excellent,excellent,excellent,average,good,no,no,NA,other uk,NA,crieff
own vehicle,shared private vehicle,0,self-catering accommodation,400,50,2,excellent,good,not interested in social programme,NA,excellent,good,no,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,event campsite (comrie croft),195,70,13,average,poor,not interested in social programme,good,good,excellent,yes,no,NA,scotland,fife,.comrie
hired vehicle,hired vehicle,0,self-catering accommodation,450,250,1,good,good,excellent,good,good,excellent,yes,yes,good,other uk,NA,comrie
hired vehicle,event bus,4,event campsite (comrie croft),380,110,10,good,excellent,good,NA,good,good,some days,yes,average,other uk,NA,"knock castle, crieff"
own vehicle,own vehicle,0,hotel,220,120,16,excellent,good,not interested in social programme,good,good,good,yes,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,campsite and the roadside,0,75,7,good,excellent,not interested in social programme,good,average,good,no,yes,good,scotland,glasgow,bridge of earn
air,event bus,4,guest house / b+b,225,0,10,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other europe,NA,perth
"bus, train",event bus,7,guest house / b+b,0,75,7,excellent,excellent,excellent,NA,excellent,excellent,yes,no,NA,scotland,highland,crieff
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,excellent,rest of the world,NA,st. killans
own vehicle,own vehicle,0,at home,210,80,5,excellent,excellent,excellent,good,excellent,excellent,yes,no,NA,other uk,NA,perth
rail,lift from station by fellow member,0,other camping / caravan site,500,30,4,excellent,excellent,not interested in social programme,average,excellent,excellent,no,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,self-catering accommodation,850,40,4,excellent,good,not interested in social programme,NA,good,average,yes,yes,good,other uk,NA,auchterarder
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,excellent,excellent,excellent,good,some days,yes,excellent,other uk,NA,amulree
own vehicle,shared private vehicle,0,event campsite (comrie croft),360,150,3,good,good,not interested in social programme,NA,excellent,good,no,no,NA,scotland,city of edinburgh,crieff
own vehicle,own vehicle,0,self-catering accommodation,750,200,0,excellent,good,good,NA,average,poor,some days,no,NA,scotland,aberdeenshire,"until day 3 in crieff (hotel), from day 3 to the end in perth (b+b)"
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,yes,good,scotland,scottish borders,barry buddon
own vehicle,shared private vehicle,0,other camping / caravan site,2000,100,14,excellent,excellent,not interested in social programme,average,excellent,excellent,no,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA,perth
own vehicle,own vehicle,0,with friends / relatives,200,90,20,good,excellent,good,good,good,excellent,some days,no,NA,scotland,city of edinburgh,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,450,250,1,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,rest of the world,NA,polmont
hired vehicle,hired vehicle,0,self-catering accommodation,300,100,6,good,good,not interested in social programme,average,good,good,no,no,NA,scotland,south norfolk,killan
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,excellent,NA,excellent,excellent,no,no,NA,other uk,NA,st fillans
own vehicle,shared private vehicle,0,campsite and the roadside,315,100,6,excellent,good,excellent,good,excellent,excellent,yes,no,NA,other europe,NA,comrie and pitlochry
own vehicle,own vehicle,0,guest house / b+b,140,150,4,excellent,good,excellent,good,excellent,excellent,yes,no,NA,other europe,NA,stanley
own vehicle,own vehicle,0,with friends / relatives,30,100,5,excellent,good,excellent,excellent,excellent,excellent,some days,yes,good,scotland,aberdeen,creiff
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,excellent,good,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA,"dollar, clackmannanshire"
air,hired vehicle,0,self-catering accommodation,1200,100,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,no,NA,other uk,NA,"comrie croft, perth"
own vehicle,"mixture of own vehicle and cycle, often dropping off or collecting from within easy reach. walked to day 3!",0,self-catering accommodation,500,30,4,good,good,excellent,excellent,average,good,some days,yes,good,other uk,NA,crieff
own vehicle,own vehicle,0,event campsite (comrie croft),250,150,1,good,good,average,NA,excellent,excellent,no,yes,good,other uk,NA,"comrie, dunkeld & pitlochry"
own vehicle,own vehicle,0,with friends / relatives,0,75,7,good,excellent,not interested in social programme,good,good,poor,no,no,NA,other uk,NA,"lochearnhead, kinloch(near blairgowrie)"
own vehicle,own vehicle,0,self-catering accommodation,150,150,3,excellent,good,excellent,good,excellent,excellent,some days,yes,good,other uk,NA,"event campsite, then aberfeldy caravan park"
own vehicle,own vehicle,0,other camping / caravan site,70,6,0,good,average,not interested in social programme,NA,average,good,yes,no,NA,scotland,perth and kinross,comrie
own vehicle,own vehicle,0,self-catering accommodation,486,100,28,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other europe,NA,crieff
train to meet rest of part part way,shared private vehicle,0,event campsite (comrie croft),0,75,7,good,excellent,not interested in social programme,NA,good,good,no,no,NA,other uk,NA,methven
i live there.....,shared private vehicle,0,at home,250,150,1,excellent,good,not interested in social programme,good,excellent,excellent,some days,yes,good,other uk,NA,crieff
own vehicle,own vehicle,0,hotel,90,100,16,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,good,other uk,NA,crieff
own vehicle,own vehicle,0,guest house / b+b,80,70,2,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,scotland,perth and kinross,glenalmond
own vehicle,own vehicle,0,event campsite (comrie croft),152,80,12,good,average,good,NA,good,excellent,some days,no,NA,scotland,dont know,comrie croft
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,good,good,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA,luncarty jut north of perth
own vehicle,own vehicle,0,self-catering accommodation,1100,200,0,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA,killin
own vehicle,own vehicle,0,other camping / caravan site,0,75,7,good,average,not interested in social programme,average,average,poor,some days,no,NA,scotland,aberdeenshire,comrie
air,hired vehicle,0,self-catering accommodation,800,50,4,excellent,good,not interested in social programme,NA,good,average,yes,yes,good,other europe,NA,perth
own vehicle,own vehicle,0,self-catering accommodation,770,150,12,good,good,good,good,good,poor,no,no,NA,scotland,city of edinburgh,rossendale
own vehicle,own vehicle,0,self-catering accommodation,1800,60,14,excellent,good,not interested in social programme,NA,excellent,excellent,some days,no,NA,other europe,NA,dunkeld
own vehicle,own vehicle,0,at home,0,75,7,excellent,good,not interested in social programme,excellent,excellent,good,yes,no,NA,scotland,city of edinburgh,forgandenny
own vehicle,own vehicle,0,other camping / caravan site,0,75,7,good,good,not interested in social programme,average,good,excellent,yes,no,NA,other europe,NA,perth
hired vehicle,hired vehicle,0,guest house / b+b,556,40,4,excellent,excellent,not interested in social programme,NA,good,average,some days,no,NA,other uk,NA,auchterarder
hired vehicle,hired vehicle,0,event campsite (comrie croft),250,150,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,no,no,NA,other uk,NA,bridge of earn
own vehicle,event bus,5,other camping / caravan site,2000,100,14,excellent,good,not interested in social programme,very poor,excellent,good,no,no,NA,other uk,NA,event arenas (controlling)
own vehicle,event bus,3,event campsite (comrie croft),0,75,7,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA,forgandenny
hired vehicle,hired vehicle,0,self-catering accommodation,700,0,10,good,good,not interested in social programme,average,good,good,some days,no,NA,scotland,highland,lochlane camp site
own vehicle,shared private vehicle,0,self-catering accommodation,1500,1000,11,excellent,excellent,excellent,NA,good,good,some days,no,NA,other uk,NA,crieff
hired vehicle,hired vehicle,0,hotel,80,70,2,excellent,good,not interested in social programme,poor,excellent,excellent,yes,no,NA,other uk,NA,st fillans   (and birnam   1 night b&b)
own vehicle,own vehicle,0,at home,1446,80,1,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,other uk,NA,st. fillans
own vehicle,own vehicle,0,event campsite (comrie croft),1158,300,6,excellent,good,not interested in social programme,NA,good,excellent,yes,no,NA,other europe,NA,perth
live in area,own vehicle,0,at home,550,150,4,excellent,good,good,good,excellent,excellent,yes,yes,good,other uk,NA,"lawers, loch tay"
own vehicle,own vehicle,0,other camping / caravan site,160,80,4,excellent,excellent,not interested in social programme,NA,excellent,good,no,no,NA,other uk,NA,"comrie, edinburgh, kirriemuir"
air,own vehicle,0,hotel,1200,100,7,excellent,excellent,good,average,good,good,yes,no,NA,other europe,NA,perth
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,good,average,not interested in social programme,NA,average,excellent,yes,yes,excellent,other uk,NA,comrie croft
own vehicle,own vehicle,0,home for 4 nights rented with friends for 2,150,150,3,excellent,good,not interested in social programme,NA,good,average,no,yes,good,other europe,NA,"dunira, comrie"
own vehicle,own vehicle,0,at home,900,100,5,excellent,excellent,not interested in social programme,good,excellent,good,no,no,NA,scotland,perthshire,crieff and pitlochry
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,good,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA,loch tay highland lodges
own vehicle,own vehicle,0,other camping / caravan site,560,60,14,excellent,excellent,excellent,NA,excellent,excellent,some days,no,NA,other europe,NA,lawers
own vehicle,own vehicle,0,self-catering accommodation,350,60,5,excellent,excellent,excellent,good,excellent,excellent,yes,yes,good,scotland,highland,crieff
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,good,good,excellent,excellent,yes,no,NA,other europe,NA,glasgow
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,excellent,good,excellent,NA,good,good,some days,yes,excellent,scotland,somerset,stirling
air,hired vehicle,0,event campsite (comrie croft),200,90,20,excellent,good,good,good,good,excellent,yes,yes,excellent,other uk,NA,comrie
own vehicle,own vehicle,0,event campsite (comrie croft),200,90,20,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,other uk,NA,lochearnhead
own vehicle,own vehicle,0,event campsite (comrie croft),0,75,7,excellent,excellent,excellent,NA,excellent,average,no,no,NA,other europe,NA,crieff
own vehicle,own vehicle,0,other camping / caravan site,70,6,0,good,excellent,not interested in social programme,good,average,poor,some days,yes,good,other europe,NA,"balquidder, st fillans, callander, murthly"
air,shared private vehicle,0,self-catering accommodation,1500,1000,11,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,scotland,east lothian,crieff
hired vehicle,hired vehicle,0,self-catering accommodation,850,40,4,excellent,good,not interested in social programme,good,good,average,yes,no,NA,other uk,NA,gargunnock
own vehicle,own vehicle,0,self-catering accommodation,400,50,2,good,good,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA,"crieff, pitlochry"
own vehicle,own vehicle,0,self-catering accommodation,1200,100,7,excellent,excellent,excellent,good,good,excellent,yes,yes,good,other uk,NA,event campsite (comrie)
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,good,good,not interested in social programme,NA,good,average,no,no,NA,other uk,NA,comrie. dunkeld
own vehicle,own vehicle,0,at home,0,75,7,good,poor,good,excellent,very poor,excellent,some days,no,NA,other uk,NA,glenfarg
own vehicle,own vehicle,0,self-catering accommodation,770,150,12,excellent,excellent,not interested in social programme,NA,good,good,some days,no,NA,other europe,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,1e21,1e21,1e21,excellent,good,not interested in social programme,NA,good,good,some days,no,NA,scotland,east dunbartonshire,stanley
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,not interested in social programme,NA,excellent,good,no,no,NA,other uk,NA,"fearnan, loch tay"
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,good,good,NA,good,good,yes,yes,average,other uk,NA,hexham
hired vehicle,event bus,4,event campsite (comrie croft),1000,1000,2,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other europe,NA,aberfeldy
own vehicle,event bus,5,event campsite (comrie croft),150,150,3,excellent,excellent,average,NA,good,excellent,yes,no,NA,other uk,NA,aberfeldy
air,event bus,4,guest house / b+b,70,6,0,good,excellent,excellent,NA,poor,average,some days,yes,excellent,scotland,ayr,comrie
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,excellent,excellent,excellent,excellent,yes,yes,excellent,other uk,NA,rumbling bridge
own vehicle,own vehicle,0,self-catering accommodation,1000,1000,2,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,good,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,excellent,good,excellent,excellent,no,no,NA,scotland,edinburgh,between crieff and perth
own vehicle,own vehicle,0,other camping / caravan site,144,60,6,excellent,good,not interested in social programme,NA,average,good,some days,no,NA,other uk,NA,"crieff, grandtully"
own vehicle,own vehicle,0,self-catering accommodation,1300,60,15,good,average,not interested in social programme,NA,good,average,some days,no,NA,other uk,NA,aberfeldy
own vehicle,event bus,6,event campsite (comrie croft),600,200,22,excellent,good,good,NA,excellent,good,yes,no,NA,scotland,aberdeen,lochearnhead
own vehicle,own vehicle,0,event campsite (comrie croft),280,200,0,average,average,good,excellent,excellent,excellent,some days,no,NA,rest of the world,NA,comrie
hired vehicle,hired vehicle,0,self-catering accommodation,1000,1000,2,average,good,not interested in social programme,good,average,average,some days,yes,good,other uk,NA,glen artney
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,not interested in social programme,good,good,good,yes,no,NA,scotland,dont know,comrie
own vehicle,own vehicle,0,hotel,560,60,14,excellent,excellent,excellent,excellent,excellent,excellent,yes,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,560,60,14,excellent,excellent,not interested in social programme,good,excellent,excellent,yes,yes,excellent,other uk,NA,st fillans
own vehicle,own vehicle,0,other camping / caravan site,80,70,2,good,average,not interested in social programme,NA,average,average,some days,yes,average,scotland,tayside,"crieff, dunkeld"
own vehicle,own vehicle,0,self-catering accommodation,650,150,14,excellent,good,not interested in social programme,average,good,good,some days,no,NA,other europe,NA,menstrie
own vehicle,own vehicle,0,with friends / relatives,200,90,20,excellent,good,excellent,excellent,excellent,excellent,yes,no,NA,scotland,aberdeenshire,perth
air,own vehicle,0,other camping / caravan site,250,150,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,some days,yes,good,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,595,150,8,good,good,not interested in social programme,NA,average,average,some days,yes,good,scotland,dumfries & galloway,comrie
own vehicle,own vehicle,0,event campsite (comrie croft),70,6,0,excellent,excellent,not interested in social programme,NA,average,good,no,no,NA,other europe,NA,twenty shilling wood caravan site comrie
bus (multiple),own vehicle,0,other camping / caravan site,150,150,3,good,good,not interested in social programme,good,excellent,good,some days,no,NA,other uk,NA,coupar angus
hired vehicle,hired vehicle,0,self-catering accommodation,200,90,20,excellent,good,excellent,excellent,good,good,no,no,NA,scotland,aberdeenshire,methven
hired vehicle,hired vehicle,0,self-catering accommodation,600,200,22,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,other camping / caravan site,0,75,7,excellent,excellent,excellent,NA,excellent,excellent,some days,no,NA,other uk,NA,comrie and birnam
own vehicle,own vehicle,0,hotel,300,100,6,good,good,not interested in social programme,NA,excellent,excellent,yes,yes,good,scotland,aberdeen city,lochearnhead
own vehicle,own vehicle,0,event campsite (comrie croft),345,45,11,excellent,excellent,not interested in social programme,excellent,excellent,excellent,some days,yes,excellent,other uk,NA,dunkeld
own vehicle,own vehicle,0,hotel,200,90,20,good,excellent,not interested in social programme,good,excellent,excellent,yes,no,NA,scotland,edinburgh,glasgow
own vehicle,own vehicle,0,self-catering accommodation,1400,100,8,excellent,excellent,good,average,excellent,excellent,no,no,NA,other uk,NA,"comrie croft campsite, den of lindores"
own vehicle,own vehicle,2,self-catering accommodation,1000,1000,2,excellent,good,very poor,NA,good,excellent,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,600,200,22,excellent,excellent,not interested in social programme,good,good,good,no,no,NA,other uk,NA,comrie croft
hired vehicle,shared private vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,good,good,excellent,excellent,yes,yes,excellent,other uk,NA,comrie
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,excellent,excellent,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA,"mid calder, pitlochry"
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,good,excellent,not interested in social programme,excellent,very poor,excellent,yes,yes,excellent,other uk,NA,scone
rail,2 own vehicles as 5 people and dog too much for one car,0,at home,250,150,1,good,good,not interested in social programme,good,good,good,some days,no,NA,scotland,edinburgh,perth
air,hired vehicle,0,self-catering accommodation,800,50,4,excellent,excellent,not interested in social programme,excellent,excellent,excellent,yes,no,NA,other uk,NA,st fillans
own vehicle,own vehicle,0,event campsite (comrie croft),0,75,7,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,excellent,scotland,east lothian,dukeld
own vehicle,own vehicle,0,self-catering accommodation,950,130,1,excellent,excellent,excellent,excellent,excellent,excellent,yes,yes,excellent,scotland,stirling,brig o'turk
own vehicle,shared private vehicle,0,self-catering accommodation,1000,1000,2,excellent,good,not interested in social programme,good,excellent,excellent,some days,no,NA,other uk,NA,comrie
own vehicle,own vehicle,0,hotel,10,60,1,excellent,excellent,not interested in social programme,NA,excellent,excellent,yes,yes,good,scotland,aberdeenshire,st fillans
own vehicle,own vehicle,0,self-catering accommodation,280,200,0,good,good,good,NA,good,good,some days,yes,good,other europe,NA,jedburgh (one night) then trochry for a week
own vehicle,own vehicle,0,self-catering accommodation,700,0,10,excellent,good,not interested in social programme,average,good,good,no,no,NA,other uk,NA,"scone, perth"
own vehicle,own vehicle,0,self-catering accommodation,1600,200,8,excellent,good,not interested in social programme,NA,good,good,yes,no,NA,other uk,NA,lochearnhead
own vehicle,own vehicle,0,other camping / caravan site,200,90,20,excellent,good,not interested in social programme,NA,excellent,excellent,some days,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,2400,180,16,excellent,good,not interested in social programme,NA,good,good,some days,no,NA,other uk,NA,crieff
own vehicle,own vehicle,0,self-catering accommodation,500,30,4,excellent,excellent,excellent,good,excellent,excellent,yes,yes,excellent,other uk,NA,comrie croft
